date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-09,94.95,96.53,94.76,96.345,96.345,2811386.0,0.0,1.0
2020-06-08,92.91,95.01,92.81,94.59,94.59,6618207.0,0.0,1.0
2020-06-05,93.5,95.54,92.81,93.85,93.85,9627342.0,0.0,1.0
2020-06-04,90.28,93.48,90.25,93.04,93.04,9523527.0,0.0,1.0
2020-06-03,91.47,91.5,89.6,90.89,90.89,8584992.0,0.0,1.0
2020-06-02,90.97,91.6974,90.05,91.04,91.04,9410732.0,0.0,1.0
2020-06-01,92.05,93.06,90.69,90.7,90.7,8483116.0,0.0,1.0
2020-05-29,91.0,92.885,89.6,92.67,92.67,13758733.0,0.0,1.0
2020-05-28,90.87,91.19,90.0,90.03,90.03,8765907.0,0.0,1.0
2020-05-27,90.54,91.0,88.56,89.98,89.98,12528416.0,0.0,1.0
2020-05-26,93.45,93.57,90.31,90.71,90.71,11867570.0,0.0,1.0
2020-05-22,92.87,93.01,91.73,92.1,92.1,5505076.0,0.0,1.0
2020-05-21,91.28,93.13,90.35,93.02,93.02,10391367.0,0.0,1.0
2020-05-20,92.13,92.54,89.9,91.19,91.19,10659052.0,0.0,1.0
2020-05-19,91.26,91.65,89.56,91.2,91.2,9889913.0,0.0,1.0
2020-05-18,92.0,93.66,91.31,91.47,91.47,16300249.0,0.0,1.0
2020-05-15,90.01,91.15,89.42,90.71,90.71,13625066.0,0.0,1.0
2020-05-14,87.62,90.48,87.4276,89.94,89.94,13370560.0,0.0,1.0
2020-05-13,90.74,92.24,87.7347,88.87,88.87,23558050.0,0.0,1.0
2020-05-12,90.0,92.23,88.47,90.46,90.46,23453079.0,0.0,1.0
2020-05-11,85.08,88.4605,83.98,87.9,87.9,19213187.0,0.0,1.0
2020-05-08,84.42,84.66,82.45,83.96,83.96,20187009.0,0.0,1.0
2020-05-07,86.52,86.84,83.56,84.22,84.22,11929115.0,0.0,1.0
2020-05-06,86.28,88.145,85.2467,85.42,85.42,17039829.0,0.0,1.0
2020-05-05,82.95,86.48,82.595,85.37,85.37,10870241.0,0.0,1.0
2020-05-04,82.22,82.84,81.12,81.86,81.86,6830154.0,0.0,1.0
2020-05-01,81.95,84.23,80.5,82.84,82.84,12704110.0,0.0,1.0
2020-04-30,82.97,83.26,81.23,82.2,82.2,15524452.0,0.0,1.0
2020-04-29,83.72,84.75,82.14,83.76,83.76,8229150.0,0.0,1.0
2020-04-28,85.7,85.97,82.37,82.76,82.76,8339115.0,0.0,1.0
2020-04-27,84.03,84.92,83.779,84.69,84.69,9208205.0,0.0,1.0
2020-04-24,82.87,83.67,82.35,83.59,83.59,6770560.0,0.0,1.0
2020-04-23,82.18,83.83,81.96,82.04,82.04,7889431.0,0.0,1.0
2020-04-22,81.23,82.45,80.73,81.47,81.47,7032990.0,0.0,1.0
2020-04-21,82.51,82.97,80.02,80.36,80.36,9624197.0,0.0,1.0
2020-04-20,83.54,85.3299,82.63,83.99,83.99,9124909.0,0.0,1.0
2020-04-17,84.0,84.79,82.5,83.45,83.45,10732946.0,0.0,1.0
2020-04-16,82.73,83.72,81.58,81.86,81.86,10308816.0,0.0,1.0
2020-04-15,80.51,83.04,79.62,81.82,81.82,8977210.0,0.0,1.0
2020-04-14,80.62,82.85,80.29,82.13,82.13,11070801.0,1.18,1.0
2020-04-13,80.66,81.33,78.66,80.3,79.1626,9287895.0,0.0,1.0
2020-04-09,78.56,80.08,78.56,79.75,78.6204,9422158.0,0.0,1.0
2020-04-08,76.44,78.98,74.7819,78.56,77.4473,12214277.0,0.0,1.0
2020-04-07,78.38,78.575,75.25,75.39,74.3222,11589415.0,0.0,1.0
2020-04-06,75.74,77.26,74.03,75.73,74.6574,10257770.0,0.0,1.0
2020-04-03,74.65,75.44,72.55,73.37,72.3308,8059146.0,0.0,1.0
2020-04-02,72.78,75.5,71.46,75.13,74.0659,8067036.0,0.0,1.0
