date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-09,27.72,28.11,27.55,27.835,27.835,33953248.0,0.0,1.0
2020-06-08,28.59,28.9,28.14,28.54,28.54,79384297.0,0.0,1.0
2020-06-05,28.95,29.01,27.88,28.11,28.11,118686441.0,0.0,1.0
2020-06-04,25.71,26.83,25.57,26.78,26.78,94415472.0,0.18,1.0
2020-06-03,25.5,26.14,25.385,25.99,25.8165,86567025.0,0.0,1.0
2020-06-02,24.96,25.39,24.56,24.84,24.6742,70987997.0,0.0,1.0
2020-06-01,24.28,24.87,24.05,24.61,24.4457,58374271.0,0.0,1.0
2020-05-29,24.42,24.91,24.06,24.12,23.959,113805249.0,0.0,1.0
2020-05-28,26.08,26.14,24.79,24.86,24.694,84327068.0,0.0,1.0
2020-05-27,26.07,26.17,24.97,25.98,25.8065,117473564.0,0.0,1.0
2020-05-26,23.75,24.6,23.67,24.28,24.1179,119384595.0,0.0,1.0
2020-05-22,22.93,22.9502,22.46,22.66,22.5087,48083035.0,0.0,1.0
2020-05-21,22.81,23.27,22.78,22.9,22.7471,57634675.0,0.0,1.0
2020-05-20,22.68,23.0,22.64,22.91,22.757,59667724.0,0.0,1.0
2020-05-19,22.66,23.0,22.185,22.21,22.0617,62045658.0,0.0,1.0
2020-05-18,22.42,23.06,22.07,22.93,22.7769,86584869.0,0.0,1.0
2020-05-15,21.4,21.6979,21.225,21.44,21.2969,62449646.0,0.0,1.0
2020-05-14,20.29,21.79,20.1,21.71,21.5651,88131672.0,0.0,1.0
2020-05-13,21.66,21.75,20.72,20.87,20.7307,111928778.0,0.0,1.0
2020-05-12,22.71,22.82,21.85,21.87,21.724,69281042.0,0.0,1.0
2020-05-11,23.11,23.12,22.56,22.58,22.4292,68687361.0,0.0,1.0
2020-05-08,23.47,23.62,23.25,23.57,23.4126,45177324.0,0.0,1.0
2020-05-07,22.66,23.37,22.61,22.84,22.6875,51822356.0,0.0,1.0
2020-05-06,23.0,23.08,22.23,22.35,22.2008,53742506.0,0.0,1.0
2020-05-05,23.48,23.515,22.62,22.66,22.5087,45628101.0,0.0,1.0
2020-05-04,22.7,22.99,22.43,22.93,22.7769,45807008.0,0.0,1.0
2020-05-01,23.38,23.46,22.8128,23.08,22.9259,51666432.0,0.0,1.0
2020-04-30,24.21,24.38,23.85,24.05,23.8894,55106610.0,0.0,1.0
2020-04-29,24.91,25.11,24.51,24.78,24.6146,73249039.0,0.0,1.0
2020-04-28,24.45,24.81,23.845,23.89,23.7305,65397328.0,0.0,1.0
2020-04-27,22.52,23.65,22.45,23.47,23.3133,66829166.0,0.0,1.0
2020-04-24,22.11,22.3,21.67,22.18,22.0319,47628915.0,0.0,1.0
2020-04-23,21.96,22.39,21.85,21.87,21.724,50471412.0,0.0,1.0
2020-04-22,22.16,22.23,21.75,21.8,21.6545,49664938.0,0.0,1.0
2020-04-21,21.9,22.365,21.5,21.64,21.4955,78779529.0,0.0,1.0
2020-04-20,22.57,23.13,22.18,22.5,22.3498,74306555.0,0.0,1.0
2020-04-17,22.34,23.4,22.31,23.28,23.1246,92710553.0,0.0,1.0
2020-04-16,22.15,22.21,21.09,21.42,21.277,87803035.0,0.0,1.0
2020-04-15,22.16,22.65,21.91,22.19,22.0418,98885954.0,0.0,1.0
2020-04-14,24.5,24.65,23.1,23.73,23.5716,88838643.0,0.0,1.0
