date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-08,41.93,43.18,41.9022,43.12,43.12,17142552.0,0.0,1.0
2020-06-05,42.13,43.1,41.99,42.09,42.09,20271636.0,0.0,1.0
2020-06-04,40.97,41.38,40.84,41.29,41.29,12756585.0,0.0,1.0
2020-06-03,41.15,41.575,40.99,41.3,41.3,17141879.0,0.0,1.0
2020-06-02,40.13,40.825,40.12,40.78,40.78,19060091.0,0.0,1.0
2020-06-01,39.54,40.27,39.4,40.18,40.18,13351638.0,0.0,1.0
2020-05-29,39.56,39.82,38.8,39.6,39.6,20301645.0,0.0,1.0
2020-05-28,39.97,40.13,39.44,39.55,39.55,18254638.0,0.0,1.0
2020-05-27,39.63,40.47,39.62,39.93,39.93,20654980.0,0.0,1.0
2020-05-26,39.45,40.13,39.395,39.52,39.52,21584997.0,0.0,1.0
2020-05-22,38.67,39.0,38.465,38.74,38.74,12383112.0,0.0,1.0
2020-05-21,38.84,39.185,38.56,38.95,38.95,20573911.0,0.0,1.0
2020-05-20,38.61,39.24,38.5,39.17,39.17,23123561.0,0.0,1.0
2020-05-19,37.83,38.66,37.33,38.21,38.21,27763208.0,0.0,1.0
2020-05-18,36.94,38.35,36.83,38.09,38.09,24829561.0,0.0,1.0
2020-05-15,35.3102,35.98,34.85,35.92,35.92,31571618.0,0.0,1.0
2020-05-14,34.7838,35.835,34.165,35.76,35.76,24334887.0,0.0,1.0
2020-05-13,35.1704,35.3,34.425,34.97,34.97,30898648.0,0.0,1.0
2020-05-12,36.07,36.23,35.34,35.35,35.35,17133010.0,0.0,1.0
2020-05-11,36.2597,36.3,35.54,36.16,36.16,21758149.0,0.0,1.0
2020-05-08,36.2111,36.65,36.0,36.535,36.535,12979665.0,0.0,1.0
2020-05-07,35.58,35.88,35.37,35.58,35.58,17466640.0,0.0,1.0
2020-05-06,36.22,36.255,35.1,35.14,35.14,20151891.0,0.0,1.0
2020-05-05,36.39,36.49,35.99,36.05,36.05,18784050.0,0.0,1.0
2020-05-04,37.15,37.2,35.92,36.215,36.215,24905973.0,0.0,1.0
2020-05-01,37.14,37.51,36.775,36.98,36.98,19951601.0,0.0,1.0
2020-04-30,36.51,38.035,36.01,37.63,37.63,33212489.0,0.0,1.0
2020-04-29,38.82,39.12,38.35,39.0,39.0,19110211.0,0.0,1.0
2020-04-28,38.63,39.065,37.91,38.08,38.08,15958719.0,0.0,1.0
2020-04-27,37.57,38.345,37.4,38.21,38.21,21775743.0,0.0,1.0
2020-04-24,36.15,37.215,36.15,37.16,37.16,19188059.0,0.0,1.0
2020-04-23,35.83,36.52,35.8,36.09,36.09,21194188.0,0.0,1.0
2020-04-22,36.23,36.35,35.68,35.73,35.73,20118447.0,0.0,1.0
2020-04-21,36.75,36.793,35.53,35.71,35.71,23004473.0,0.0,1.0
2020-04-20,37.6476,38.215,37.12,37.21,37.21,18444505.0,0.0,1.0
2020-04-17,38.55,38.71,37.68,38.08,38.08,28736620.0,0.0,1.0
2020-04-16,37.4701,38.02,36.66,37.83,37.83,20973848.0,0.0,1.0
2020-04-15,37.78,38.05,36.75,37.16,37.16,19786332.0,0.0,1.0
2020-04-14,37.8967,38.64,37.225,38.52,38.52,21803250.0,0.0,1.0
2020-04-13,37.45,37.885,36.58,37.19,37.19,20237605.0,0.0,1.0
2020-04-09,37.49,38.045,36.8,38.0,38.0,28618348.0,0.0,1.0
2020-04-08,37.23,37.91,36.755,37.68,37.68,26522495.0,0.0,1.0
2020-04-07,36.95,37.965,36.725,36.94,36.94,26379004.0,0.0,1.0
2020-04-06,35.37,36.4,35.09,36.23,36.23,31583191.0,0.0,1.0
2020-04-03,34.1,34.64,33.41,33.95,33.95,19312587.0,0.0,1.0
2020-04-02,32.1,34.465,32.0583,34.37,34.37,24683924.0,0.0,1.0
2020-04-01,33.16,33.76,32.05,32.42,32.42,26097173.0,0.0,1.0
2020-03-31,34.83,35.785,34.25,34.38,34.38,27789378.0,0.23,1.0
2020-03-30,34.6808,35.625,34.55,35.49,35.2542,31400214.0,0.0,1.0
2020-03-27,35.59,35.79,34.41,34.57,34.3403,27910405.0,0.0,1.0
2020-03-26,33.19,37.31,33.06,36.74,36.4958,38332143.0,0.0,1.0
2020-03-25,33.78,34.56,31.78,33.57,33.3469,57834084.0,0.0,1.0
2020-03-24,35.365,35.365,33.525,34.64,34.4098,46492841.0,0.0,1.0
2020-03-23,33.165,34.67,31.705,34.17,33.9429,38600869.0,0.0,1.0
2020-03-20,36.09,36.09,32.635,33.37,33.1482,47308980.0,0.0,1.0
2020-03-19,35.864,39.31,34.6,35.94,35.7012,36830354.0,0.0,1.0
2020-03-18,36.2153,36.75,33.27,35.68,35.4429,42533357.0,0.0,1.0
2020-03-17,36.58,38.35,36.21,38.22,37.966,38934897.0,0.0,1.0
2020-03-16,34.64,38.99,34.5,36.04,35.8005,41485661.0,0.0,1.0
2020-03-13,36.23,39.72,34.48,39.33,39.0686,66243376.0,0.0,1.0
2020-03-12,35.58,37.85,34.44,34.94,34.7078,63254520.0,0.0,1.0
2020-03-11,37.8,38.485,37.38,37.91,37.6581,38873075.0,0.0,1.0
2020-03-10,38.64,39.15,36.665,39.1,38.8402,48724264.0,0.0,1.0
2020-03-09,38.17,38.885,37.15,37.88,37.6283,46926245.0,0.0,1.0
2020-03-06,38.91,40.6,38.83,40.37,40.1017,31302063.0,0.0,1.0
2020-03-05,41.42,41.775,40.425,40.77,40.4991,25284615.0,0.0,1.0
2020-03-04,41.97,42.555,41.5,42.5,42.2176,24997082.0,0.0,1.0
2020-03-03,42.07,43.45,41.1,41.44,41.1646,43253398.0,0.0,1.0
2020-03-02,40.34,42.53,39.4,42.52,42.2374,40006925.0,0.0,1.0
2020-02-28,40.0,40.98,38.97,40.43,40.1613,62188719.0,0.0,1.0
2020-02-27,41.86,42.6,40.99,41.05,40.7772,36098149.0,0.0,1.0
2020-02-26,44.175,44.175,42.19,42.22,41.9394,30529334.0,0.0,1.0
2020-02-25,44.745,44.89,43.025,43.17,42.8831,22440550.0,0.0,1.0
2020-02-24,45.12,46.01,44.47,44.6,44.3036,21720814.0,0.0,1.0
2020-02-21,45.76,46.42,45.66,45.82,45.5155,21235478.0,0.0,1.0
2020-02-20,45.8,46.15,45.5,46.02,45.7142,12037779.0,0.0,1.0
2020-02-19,46.22,46.255,45.86,45.97,45.6645,14814425.0,0.0,1.0
2020-02-18,46.14,46.39,45.81,46.15,45.8433,13694482.0,0.0,1.0
2020-02-14,46.08,46.18,45.75,46.09,45.7837,15930962.0,0.0,1.0
2020-02-13,45.9,46.35,45.69,46.07,45.7638,17913182.0,0.0,1.0
2020-02-12,44.98,46.135,44.91,46.02,45.7142,23638289.0,0.0,1.0
2020-02-11,44.82,44.85,44.36,44.79,44.4923,11075716.0,0.0,1.0
2020-02-10,44.64,44.731,44.26,44.66,44.3632,15016121.0,0.0,1.0
2020-02-07,44.52,44.85,44.27,44.74,44.4427,14104150.0,0.0,1.0
2020-02-06,44.76,45.06,44.29,44.6,44.3036,15222392.0,0.0,1.0
2020-02-05,44.65,45.14,44.48,44.59,44.2937,20332218.0,0.0,1.0
2020-02-04,43.5,44.52,43.38,44.28,43.9857,28143238.0,0.0,1.0
2020-02-03,43.56,43.65,42.62,42.66,42.3765,26387890.0,0.0,1.0
2020-01-31,44.12,44.14,43.0,43.19,42.903,24008284.0,0.0,1.0
2020-01-30,42.87,44.19,42.7,44.14,43.8467,25105456.0,0.0,1.0
2020-01-29,44.26,44.26,43.15,43.32,43.0321,21915245.0,0.0,1.0
2020-01-28,44.07,44.415,43.81,44.04,43.7473,15875902.0,0.0,1.0
2020-01-27,43.93,44.75,43.8,44.0,43.7076,24048845.0,0.0,1.0
2020-01-24,44.9035,45.06,44.21,44.59,44.2937,39229343.0,0.0,1.0
2020-01-23,46.54,46.98,45.5144,45.65,45.3466,37753018.0,0.0,1.0
2020-01-22,47.5,47.7,47.27,47.44,47.1247,18251633.0,0.0,1.0
2020-01-21,47.48,47.48,46.79,47.3,46.9857,18864606.0,0.0,1.0
2020-01-17,47.68,47.74,47.1101,47.5,47.1843,27667130.0,0.0,1.0
2020-01-16,46.44,46.92,46.31,46.87,46.5585,24424394.0,0.0,1.0
2020-01-15,46.06,46.545,46.01,46.28,45.9724,15413473.0,0.0,1.0
2020-01-14,45.57,46.22,45.5,46.03,45.7241,16712123.0,0.0,1.0
2020-01-13,44.92,45.87,44.9,45.8,45.4956,21702716.0,0.0,1.0
2020-01-10,45.63,45.63,44.925,44.98,44.6811,15896327.0,0.0,1.0
2020-01-09,45.39,45.61,45.18,45.51,45.2076,14195400.0,0.0,1.0
2020-01-08,44.94,45.57,44.76,45.39,45.0884,18097609.0,0.0,1.0
2020-01-07,44.25,45.005,44.22,44.93,44.6314,24566232.0,0.21,1.0
2020-01-06,44.66,44.87,44.55,44.67,44.1667,17628499.0,0.0,1.0
2020-01-03,44.83,45.2213,44.57,45.01,44.5029,20496469.0,0.0,1.0
2020-01-02,45.36,45.4,44.93,45.37,44.8588,20171891.0,0.0,1.0
2019-12-31,45.12,45.18,44.765,44.97,44.4633,13881706.0,0.0,1.0
2019-12-30,45.1,45.34,44.94,45.18,44.671,12896906.0,0.0,1.0
2019-12-27,45.1,45.22,44.86,45.1,44.5919,12272547.0,0.0,1.0
2019-12-26,44.73,45.0,44.565,44.97,44.4633,12019715.0,0.0,1.0
2019-12-24,44.1,44.7,44.1,44.53,44.0283,6504699.0,0.0,1.0
2019-12-23,44.08,44.25,43.95,44.1,43.6031,22609328.0,0.0,1.0
2019-12-20,43.74,44.19,43.23,44.09,43.5932,41423052.0,0.0,1.0
2019-12-19,43.27,43.65,43.025,43.64,43.1483,20723161.0,0.0,1.0
2019-12-18,43.45,43.88,43.135,43.19,42.7034,27057383.0,0.0,1.0
2019-12-17,43.89,43.89,43.27,43.39,42.9011,18743120.0,0.0,1.0
2019-12-16,43.89,44.08,43.32,43.53,43.0396,23559576.0,0.0,1.0
2019-12-13,42.84,43.8,42.73,43.58,43.089,28975886.0,0.0,1.0
2019-12-12,42.19,43.2,42.17,43.01,42.5254,35992801.0,0.0,1.0
2019-12-11,42.79,42.85,42.01,42.07,41.596,37611393.0,0.0,1.0
2019-12-10,43.73,43.8,42.705,42.77,42.2881,30177394.0,0.0,1.0
2019-12-09,44.26,45.09,43.735,43.89,43.3955,21650388.0,0.0,1.0
2019-12-06,44.36,44.42,44.01,44.24,43.7416,14667743.0,0.0,1.0
2019-12-05,43.48,44.09,43.26,44.04,43.5438,22570659.0,0.0,1.0
2019-12-04,43.7,43.7386,43.345,43.51,43.0198,16872594.0,0.0,1.0
2019-12-03,43.35,43.73,43.08,43.65,43.1582,22523112.0,0.0,1.0
2019-12-02,44.4,44.4,43.555,43.63,43.1384,16789383.0,0.0,1.0
2019-11-29,44.6,44.6,44.04,44.15,43.6526,8479332.0,0.0,1.0
2019-11-27,43.85,44.575,43.66,44.42,43.9195,20426875.0,0.0,1.0
2019-11-26,43.47,43.85,43.25,43.55,43.0593,38656974.0,0.0,1.0
2019-11-25,44.83,44.9,43.28,43.35,42.8616,26200507.0,0.0,1.0
2019-11-22,44.53,44.9,44.29,44.8,44.2952,14107501.0,0.0,1.0
2019-11-21,44.29,44.45,43.78,44.36,43.8602,16252824.0,0.0,1.0
2019-11-20,44.39,44.63,43.875,44.215,43.7168,15244237.0,0.0,1.0
2019-11-19,44.76,44.905,44.59,44.81,44.3051,16469515.0,0.0,1.0
2019-11-18,44.31,44.62,44.08,44.61,44.1074,16261422.0,0.0,1.0
2019-11-15,45.66,45.67,44.43,44.56,44.058,23183714.0,0.0,1.0
2019-11-14,45.14,45.565,45.04,45.45,44.9379,11364315.0,0.0,1.0
2019-11-13,45.05,45.555,44.97,45.2,44.6907,11477580.0,0.0,1.0
2019-11-12,45.18,45.31,44.95,45.23,44.7204,12175346.0,0.0,1.0
2019-11-11,44.88,45.6,44.88,45.25,44.7402,11169496.0,0.0,1.0
2019-11-08,44.68,45.2,44.43,45.19,44.6809,13741759.0,0.0,1.0
2019-11-07,44.48,45.005,44.27,44.7,44.1964,15632907.0,0.0,1.0
2019-11-06,44.32,44.35,43.53,44.22,43.7218,19927421.0,0.0,1.0
2019-11-05,43.96,44.48,43.67,44.28,43.7811,15991268.0,0.0,1.0
2019-11-04,45.11,45.215,43.75,43.89,43.3955,20926406.0,0.0,1.0
2019-11-01,45.19,45.21,44.51,44.75,44.2458,16314076.0,0.0,1.0
2019-10-31,44.75,44.85,43.89,44.82,44.315,23563135.0,0.0,1.0
2019-10-30,45.35,45.43,44.46,44.69,44.1865,14443119.0,0.0,1.0
2019-10-29,45.19,45.65,45.115,45.35,44.8391,12664523.0,0.0,1.0
2019-10-28,45.39,46.05,44.55,45.44,44.928,14798282.0,0.0,1.0
2019-10-25,45.18,45.7772,44.9343,45.65,45.1357,15256752.0,0.0,1.0
2019-10-24,47.21,47.24,44.5,44.84,44.3348,19165918.0,0.0,1.0
2019-10-23,46.01,46.185,45.47,45.72,45.2049,23521466.0,0.0,1.0
2019-10-22,45.89,46.045,45.695,45.77,45.2543,12172167.0,0.0,1.0
2019-10-21,45.89,46.215,45.81,46.08,45.5608,10646894.0,0.0,1.0
2019-10-18,46.06,46.1,45.42,45.57,45.0566,13477306.0,0.0,1.0
2019-10-17,45.83,45.96,45.51,45.93,45.4125,9393032.0,0.0,1.0
2019-10-16,45.56,45.81,45.31,45.6,45.0862,15021246.0,0.0,1.0
2019-10-15,45.31,45.82,45.095,45.67,45.1554,9376770.0,0.0,1.0
2019-10-14,45.37,45.54,45.06,45.23,44.7204,10177755.0,0.0,1.0
2019-10-11,44.84,45.94,44.6335,45.55,45.0368,23089944.0,0.0,1.0
2019-10-10,44.4,44.84,44.3001,44.5,43.9986,9837381.0,0.0,1.0
2019-10-09,44.49,44.52,44.05,44.38,43.88,10640651.0,0.0,1.0
2019-10-08,44.75,44.75,43.64,44.11,43.613,14376526.0,0.0,1.0
2019-10-07,44.39,44.96,44.33,44.59,44.0876,13492411.0,0.0,1.0
2019-10-04,44.33,45.0166,44.29,44.71,44.2063,14984986.0,0.0,1.0
2019-10-03,44.07,44.17,43.61,44.06,43.5636,14036986.0,0.0,1.0
2019-10-02,44.39,44.63,43.965,44.05,43.5537,17558025.0,0.0,1.0
2019-10-01,45.18,45.71,44.48,44.52,44.0184,15230293.0,0.21,1.0
2019-09-30,45.0,45.22,44.77,45.08,44.3628,14142772.0,0.0,1.0
2019-09-27,45.16,45.3,44.325,44.81,44.0971,15005261.0,0.0,1.0
2019-09-26,45.62,45.8,44.25,44.9,44.1857,22577893.0,0.0,1.0
2019-09-25,45.79,45.98,45.32,45.83,45.1009,22330848.0,0.0,1.0
2019-09-24,46.62,46.65,45.45,45.71,44.9828,21170984.0,0.0,1.0
2019-09-23,46.17,46.51,46.155,46.215,45.4798,19455992.0,0.0,1.0
2019-09-20,46.67,46.82,46.175,46.36,45.6225,28652428.0,0.0,1.0
2019-09-19,47.04,47.16,46.5732,46.68,45.9374,10570434.0,0.0,1.0
2019-09-18,46.98,47.05,46.46,46.94,46.1932,13184084.0,0.0,1.0
2019-09-17,46.12,46.71,45.88,46.67,45.9275,10085059.0,0.0,1.0
2019-09-16,46.23,46.62,45.7932,46.27,45.5339,13581676.0,0.0,1.0
2019-09-13,46.96,47.16,46.785,46.88,46.1342,11732669.0,0.0,1.0
2019-09-12,46.79,47.27,46.5,46.97,46.2228,18660032.0,0.0,1.0
2019-09-11,46.28,46.57,46.09,46.4,45.6618,12874394.0,0.0,1.0
2019-09-10,46.19,46.57,46.01,46.45,45.711,17566693.0,0.0,1.0
2019-09-09,46.65,46.69,46.135,46.42,45.6815,16383180.0,0.0,1.0
2019-09-06,46.43,46.61,46.2,46.35,45.6126,13101832.0,0.0,1.0
2019-09-05,46.43,46.62,45.99,46.41,45.6717,22076269.0,0.0,1.0
2019-09-04,44.32,45.71,44.22,45.52,44.7958,26198579.0,0.0,1.0
2019-09-03,43.89,44.08,43.53,43.88,43.1819,12712092.0,0.0,1.0
2019-08-30,44.49,44.65,44.03,44.26,43.5559,15484753.0,0.0,1.0
2019-08-29,44.15,44.5,43.95,44.17,43.4673,11339524.0,0.0,1.0
2019-08-28,43.4,43.9,43.21,43.77,43.0737,11674674.0,0.0,1.0
2019-08-27,43.9,43.92,43.42,43.6,42.9064,12508281.0,0.0,1.0
2019-08-26,42.74,43.51,42.55,43.35,42.6604,13009631.0,0.0,1.0
2019-08-23,43.5,43.835,42.27,42.43,41.755,18196656.0,0.0,1.0
2019-08-22,44.23,44.41,43.62,43.77,43.0737,9960534.0,0.0,1.0
2019-08-21,43.76,44.16,43.48,44.11,43.4083,11329583.0,0.0,1.0
2019-08-20,43.88,44.46,43.69,43.94,43.241,15758088.0,0.0,1.0
2019-08-19,43.63,44.14,43.61,44.0,43.3,13908523.0,0.0,1.0
2019-08-16,42.78,43.32,42.51,43.18,42.4931,14580415.0,0.0,1.0
2019-08-15,42.45,42.875,42.05,42.35,41.6763,14471621.0,0.0,1.0
2019-08-14,43.49,43.49,42.19,42.37,41.6959,18319613.0,0.0,1.0
2019-08-13,42.54,44.04,42.47,43.46,42.7686,21967839.0,0.0,1.0
2019-08-12,42.73,42.77,42.2,42.46,41.7845,15941584.0,0.0,1.0
2019-08-09,42.63,43.145,42.38,42.93,42.247,15782174.0,0.0,1.0
2019-08-08,41.97,42.88,41.9,42.66,41.9813,14085346.0,0.0,1.0
2019-08-07,41.3,41.84,40.7195,41.73,41.0661,22674690.0,0.0,1.0
2019-08-06,41.69,42.185,41.3,42.07,41.4007,18433740.0,0.0,1.0
2019-08-05,42.14,42.2,41.13,41.61,40.948,23618691.0,0.0,1.0
2019-08-02,42.75,42.92,42.2,42.65,41.9715,20839541.0,0.0,1.0
2019-08-01,43.19,43.84,42.78,42.88,42.1978,17420866.0,0.0,1.0
2019-07-31,43.8,43.895,42.7,43.17,42.4832,18509208.0,0.0,1.0
2019-07-30,44.04,44.26,43.72,44.08,43.3787,10335709.0,0.0,1.0
2019-07-29,44.7,44.71,44.12,44.23,43.5264,9840746.0,0.0,1.0
2019-07-26,44.02,45.08,44.02,44.63,43.92,17000312.0,0.0,1.0
2019-07-25,44.31,45.295,43.8099,44.61,43.9003,25659247.0,0.0,1.0
2019-07-24,44.31,44.875,44.225,44.87,44.1562,17642409.0,0.0,1.0
2019-07-23,44.01,44.42,43.95,44.32,43.6149,16611048.0,0.0,1.0
2019-07-22,44.11,44.14,43.64,43.85,43.1524,17162899.0,0.0,1.0
2019-07-19,44.75,44.76,44.02,44.06,43.3591,18371998.0,0.0,1.0
2019-07-18,44.25,44.58,44.085,44.56,43.8511,12461411.0,0.0,1.0
2019-07-17,45.03,45.05,44.35,44.43,43.7232,16688186.0,0.0,1.0
2019-07-16,44.83,45.26,44.77,45.09,44.3727,17468528.0,0.0,1.0
2019-07-15,44.87,44.87,44.48,44.72,44.0086,15964940.0,0.0,1.0
2019-07-12,44.07,45.01,43.96,44.64,43.9298,18076680.0,0.0,1.0
2019-07-11,43.81,44.13,43.75,44.08,43.3787,15189403.0,0.0,1.0
2019-07-10,44.04,44.14,43.245,43.79,43.0934,22178411.0,0.0,1.0
2019-07-09,42.56,43.135,42.36,42.98,42.2962,15865272.0,0.0,1.0
2019-07-08,43.18,43.22,42.57,42.63,41.9518,14804494.0,0.0,1.0
2019-07-05,43.15,43.35,42.87,43.28,42.5915,11608799.0,0.0,1.0
2019-07-03,43.0,43.34,42.95,43.32,42.6308,8404265.0,0.0,1.0
2019-07-02,42.57,42.89,42.46,42.89,42.2077,14996299.0,0.21,1.0
2019-07-01,42.65,43.0,42.34,42.71,41.8258,19570297.0,0.0,1.0
2019-06-28,42.17,42.31,41.8615,42.28,41.4047,49938208.0,0.0,1.0
2019-06-27,42.29,42.32,41.4101,42.0,41.1304,19009279.0,0.0,1.0
2019-06-26,42.66,42.85,41.94,42.11,41.2382,17737561.0,0.0,1.0
2019-06-25,43.52,43.5625,42.69,42.75,41.8649,19622232.0,0.0,1.0
2019-06-24,43.55,43.86,43.425,43.6,42.6973,12693352.0,0.0,1.0
2019-06-21,43.43,43.78,43.28,43.56,42.6582,24679532.0,0.0,1.0
2019-06-20,43.64,43.77,43.3125,43.68,42.7757,18165962.0,0.0,1.0
2019-06-19,43.22,43.76,43.07,43.14,42.2468,14863769.0,0.0,1.0
2019-06-18,42.98,43.61,42.9475,43.25,42.3546,21811328.0,0.0,1.0
2019-06-17,42.34,42.78,42.09,42.56,41.6789,14561961.0,0.0,1.0
2019-06-14,41.97,42.495,41.695,42.31,41.434,20943662.0,0.0,1.0
2019-06-13,41.46,41.73,41.37,41.69,40.8269,26154957.0,0.0,1.0
2019-06-12,41.29,41.79,41.25,41.45,40.5918,24733880.0,0.0,1.0
2019-06-11,41.57,41.81,41.03,41.22,40.3666,16895651.0,0.0,1.0
2019-06-10,41.48,41.63,41.12,41.29,40.4351,16781719.0,0.0,1.0
2019-06-07,41.35,41.59,41.1,41.48,40.6212,32287627.0,0.0,1.0
2019-06-06,41.27,41.3411,40.81,41.15,40.298,23997720.0,0.0,1.0
2019-06-05,41.76,41.79,41.22,41.3,40.4449,24325262.0,0.0,1.0
2019-06-04,41.45,41.87,41.25,41.4,40.5429,21918479.0,0.0,1.0
2019-06-03,41.03,41.26,40.68,40.96,40.112,22205798.0,0.0,1.0
2019-05-31,41.39,41.48,40.765,41.0,40.1512,22114352.0,0.0,1.0
2019-05-30,42.23,42.24,41.42,41.74,40.8758,22663869.0,0.0,1.0
2019-05-29,42.24,42.37,41.745,41.92,41.0521,16519981.0,0.0,1.0
2019-05-28,42.85,43.03,42.425,42.47,41.5907,15224647.0,0.0,1.0
2019-05-24,42.81,43.06,42.63,42.67,41.7866,9361850.0,0.0,1.0
2019-05-23,43.0,43.15,42.5,42.73,41.8453,14754952.0,0.0,1.0
2019-05-22,43.26,43.5,43.08,43.3,42.4035,11964366.0,0.0,1.0
2019-05-21,43.06,43.305,42.68,43.29,42.3937,16482314.0,0.0,1.0
2019-05-20,43.38,43.38,42.41,42.78,41.8943,14094091.0,0.0,1.0
2019-05-17,43.06,43.805,43.02,43.54,42.6386,13916014.0,0.0,1.0
2019-05-16,42.57,43.3,42.41,43.19,42.2958,17593659.0,0.0,1.0
2019-05-15,42.75,42.92,42.15,42.49,41.6103,37268762.0,0.0,1.0
2019-05-14,42.27,43.3875,42.27,42.91,42.0216,16592818.0,0.0,1.0
2019-05-13,42.57,43.06,42.14,42.28,41.4047,17108692.0,0.0,1.0
2019-05-10,42.7,43.22,42.22,43.15,42.2566,12931626.0,0.0,1.0
2019-05-09,42.29,42.98,42.16,42.92,42.0314,13624398.0,0.0,1.0
2019-05-08,42.73,42.96,42.36,42.55,41.6691,13076905.0,0.0,1.0
2019-05-07,43.0,43.11,42.37,42.76,41.8747,15505222.0,0.0,1.0
2019-05-06,42.77,43.405,42.7,43.3,42.4035,13307520.0,0.0,1.0
2019-05-03,42.97,43.505,42.74,43.29,42.3937,12751037.0,0.0,1.0
2019-05-02,43.32,43.39,42.36,42.65,41.767,18051125.0,0.0,1.0
2019-05-01,43.48,43.8,43.3,43.42,42.5211,14327704.0,0.0,1.0
