date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-08,68.2,70.64,68.16,70.62,70.62,8552703.0,0.0,1.0
2020-06-05,67.28,69.19,67.13,68.35,68.35,8596044.0,0.0,1.0
2020-06-04,66.29,66.72,65.95,66.53,66.53,5468051.0,0.0,1.0
2020-06-03,67.14,67.6751,66.24,66.85,66.85,6101379.0,0.0,1.0
2020-06-02,65.64,67.31,65.4102,66.84,66.84,5462264.0,0.0,1.0
2020-06-01,65.44,65.96,65.0122,65.64,65.64,5186902.0,0.0,1.0
2020-05-29,66.39,66.7,64.62,65.57,65.57,8977197.0,0.0,1.0
2020-05-28,66.7,67.73,66.41,66.56,66.56,6599526.0,0.0,1.0
2020-05-27,64.97,66.0,63.85,65.97,65.97,7115296.0,0.0,1.0
2020-05-26,64.47,65.6,64.33,64.64,64.64,7969145.0,0.0,1.0
2020-05-22,63.42,63.49,62.89,63.33,63.33,3494416.0,0.0,1.0
2020-05-21,62.95,63.93,62.73,63.34,63.34,5483149.0,0.0,1.0
2020-05-20,64.1,64.33,62.99,63.22,63.22,7044276.0,0.0,1.0
2020-05-19,63.3,64.18,62.865,63.61,63.61,5056922.0,0.0,1.0
2020-05-18,64.47,64.86,63.67,63.73,63.73,6819329.0,0.0,1.0
2020-05-15,61.77,63.3,61.71,63.19,63.19,10419016.0,0.0,1.0
2020-05-14,62.31,62.41,60.34,62.31,62.31,8848623.0,0.0,1.0
2020-05-13,63.28,63.4999,60.755,61.15,61.15,10929082.0,0.0,1.0
2020-05-12,64.2,64.57,63.05,63.35,63.35,10777318.0,0.0,1.0
2020-05-11,62.71,64.079,62.68,63.84,63.84,6906258.0,0.0,1.0
2020-05-08,62.16,63.23,61.76,63.12,63.12,7320824.0,0.0,1.0
2020-05-07,61.36,61.7916,60.85,61.45,61.45,9771546.0,0.0,1.0
2020-05-06,63.43,63.49,60.26,60.41,60.41,16299046.0,0.0,1.0
2020-05-05,60.63,61.61,60.35,61.21,61.21,7835763.0,0.0,1.0
2020-05-04,59.16,60.13,58.9402,59.95,59.95,6367792.0,0.0,1.0
2020-05-01,60.79,60.8,59.27,59.7,59.7,7575575.0,0.0,1.0
2020-04-30,62.35,62.68,61.41,61.55,61.55,7357660.0,0.0,1.0
2020-04-29,63.52,64.05,62.5201,62.61,62.61,7682713.0,0.0,1.0
2020-04-28,65.0,65.0,62.78,63.24,63.24,7344211.0,0.0,1.0
2020-04-27,62.98,63.83,62.81,63.5,63.5,6715265.0,0.0,1.0
