date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-09,49.59,49.59,48.8,48.85,48.85,5648698.0,0.0,1.0
2020-06-08,49.54,49.97,49.47,49.85,49.85,19889765.0,0.0,1.0
2020-06-05,48.54,49.49,48.46,49.09,49.09,20499142.0,0.0,1.0
2020-06-04,47.94,48.265,47.38,47.92,47.92,13600561.0,0.0,1.0
2020-06-03,47.27,48.115,47.12,47.9,47.9,15502059.0,0.0,1.0
2020-06-02,47.16,47.28,46.56,46.9,46.9,15251495.0,0.0,1.0
2020-06-01,46.66,47.23,46.59,46.99,46.99,17010571.0,0.0,1.0
2020-05-29,46.68,47.19,46.14,46.68,46.68,51125046.0,0.0,1.0
2020-05-28,47.3,47.46,46.82,47.09,47.09,16230327.0,0.0,1.0
2020-05-27,47.0,47.09,46.165,46.73,46.73,18441417.0,0.0,1.0
2020-05-26,46.92,46.93,45.93,46.09,46.09,22221697.0,0.0,1.0
2020-05-22,45.22,45.305,44.65,45.03,45.03,13007667.0,0.0,1.0
2020-05-21,46.08,46.09,45.03,45.17,45.17,13274462.0,0.0,1.0
2020-05-20,45.2,46.17,45.02,45.89,45.89,22290905.0,0.0,1.0
2020-05-19,45.01,45.33,44.25,44.54,44.54,17836565.0,0.0,1.0
2020-05-18,44.82,45.39,44.13,44.97,44.97,26118213.0,0.0,1.0
2020-05-15,43.96,44.69,43.2,43.26,43.26,31570613.0,0.0,1.0
2020-05-14,43.38,44.06,43.23,43.7,43.7,17990670.0,0.0,1.0
2020-05-13,44.71,44.78,43.5217,43.94,43.94,15848600.0,0.0,1.0
2020-05-12,45.6,45.85,44.8,44.82,44.82,13417868.0,0.0,1.0
2020-05-11,45.69,46.11,45.52,45.54,45.54,10868383.0,0.0,1.0
2020-05-08,45.08,46.22,44.88,46.11,46.11,13984960.0,0.0,1.0
2020-05-07,45.15,45.24,44.5,44.6,44.6,16465906.0,0.0,1.0
2020-05-06,45.4,45.63,44.72,44.75,44.75,11887313.0,0.0,1.0
2020-05-05,45.36,46.1,45.15,45.4,45.4,13366645.0,0.0,1.0
2020-05-04,45.32,45.48,44.6,45.14,45.14,22541047.0,0.0,1.0
2020-05-01,45.62,46.39,45.21,45.6,45.6,14285377.0,0.0,1.0
2020-04-30,47.0,47.0,45.7,45.89,45.89,20791279.0,0.0,1.0
2020-04-29,47.27,47.86,46.88,47.12,47.12,15769630.0,0.0,1.0
2020-04-28,47.9,48.0,46.57,46.74,46.74,17239191.0,0.0,1.0
2020-04-27,46.0,46.975,45.71,46.78,46.78,19172598.0,0.0,1.0
2020-04-24,45.5,45.75,45.1201,45.43,45.43,15174873.0,0.0,1.0
2020-04-23,45.95,46.1,44.97,45.07,45.07,17659287.0,0.0,1.0
2020-04-22,46.05,46.145,45.5,45.68,45.68,15811619.0,0.0,1.0
2020-04-21,45.88,46.9014,44.26,45.38,45.38,26856504.0,0.0,1.0
2020-04-20,47.79,48.0,46.31,46.53,46.53,18927029.0,0.0,1.0
2020-04-17,48.3,48.3,47.37,48.06,48.06,19840101.0,0.0,1.0
2020-04-16,47.4,47.85,46.76,47.1,47.1,17572791.0,0.0,1.0
2020-04-15,47.71,48.4,47.41,47.61,47.61,12877619.0,0.0,1.0
2020-04-14,47.94,49.25,46.93,48.92,48.92,21794319.0,0.0,1.0
2020-04-13,48.35,48.64,46.5,46.93,46.93,19578090.0,0.0,1.0
2020-04-09,48.44,49.73,48.35,49.0,49.0,19163832.0,0.0,1.0
2020-04-08,46.64,48.09,46.33,47.82,47.82,18931984.0,0.0,1.0
2020-04-07,48.5,48.6,46.48,46.51,46.51,21275214.0,0.0,1.0
2020-04-06,45.39,47.01,44.69,46.67,46.67,22843922.0,0.0,1.0
2020-04-03,43.58,44.335,43.31,43.83,43.83,14204266.0,0.0,1.0
2020-04-02,42.22,44.19,41.8623,43.95,43.95,17619683.0,0.0,1.0
2020-04-01,42.48,43.65,41.8,42.12,42.12,21928902.0,0.0,1.0
2020-03-31,45.07,45.51,44.06,44.25,44.25,25357374.0,0.0,1.0
2020-03-30,43.04,45.56,43.04,45.0,45.0,23426329.0,0.0,1.0
2020-03-27,43.66,44.03,42.4,42.81,42.81,23291961.0,0.0,1.0
2020-03-26,42.84,45.27,42.45,44.29,44.29,37818599.0,0.0,1.0
2020-03-25,40.63,43.45,39.91,41.61,41.61,42501287.0,0.0,1.0
2020-03-24,41.22,41.4,38.83,39.45,39.45,49065438.0,0.0,1.0
2020-03-23,38.755,38.8862,36.27,37.56,37.56,44952445.0,0.0,1.0
2020-03-20,41.95,42.07,37.51,38.3,38.3,51493270.0,0.0,1.0
2020-03-19,44.36,44.66,41.04,41.83,41.83,41945862.0,0.0,1.0
2020-03-18,44.74,45.15,41.59,44.85,44.85,35020842.0,0.0,1.0
2020-03-17,45.88,47.5,45.37,47.18,47.18,32100035.0,0.0,1.0
2020-03-16,42.24,47.88,41.17,45.26,45.26,28674815.0,0.0,1.0
