date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-08,39.79,40.07,39.105,39.95,39.95,1403038.0,0.0,1.0
2020-06-05,38.73,39.82,38.18,39.08,39.08,1478676.0,0.0,1.0
2020-06-04,35.31,36.52,34.55,36.5,36.5,1176229.0,0.0,1.0
2020-06-03,35.36,35.9,35.28,35.48,35.48,1131034.0,0.0,1.0
2020-06-02,34.23,35.09,34.02,34.64,34.64,1668283.0,0.0,1.0
2020-06-01,33.16,33.89,32.75,33.77,33.77,1000628.0,0.0,1.0
2020-05-29,33.27,33.64,32.66,33.24,33.24,2610591.0,0.0,1.0
2020-05-28,34.69,34.8,33.6,33.78,33.78,1021330.0,0.0,1.0
2020-05-27,34.38,34.75,33.81,34.24,34.24,1070232.0,0.0,1.0
2020-05-26,33.28,33.65,32.91,33.04,33.04,1011383.0,0.0625,1.0
2020-05-22,32.24,32.28,31.31,31.91,31.8498,846314.0,0.0,1.0
2020-05-21,32.07,32.46,31.83,32.09,32.0294,1144393.0,0.0,1.0
2020-05-20,31.54,32.44,31.54,32.19,32.1292,1045081.0,0.0,1.0
2020-05-19,31.53,31.73,31.05,31.06,31.0014,1197205.0,0.0,1.0
2020-05-18,31.45,32.09,31.26,31.65,31.5902,1705587.0,0.0,1.0
2020-05-15,28.71,29.89,28.16,29.81,29.7537,4071273.0,0.0,1.0
2020-05-14,28.25,29.44,27.325,29.09,29.0351,1463457.0,0.0,1.0
2020-05-13,29.16,29.42,28.24,28.8,28.7456,2390171.0,0.0,1.0
2020-05-12,30.1,30.13,29.33,29.6,29.5441,1556172.0,0.0,1.0
2020-05-11,30.55,30.55,29.5,30.01,29.9533,1447715.0,0.0,1.0
2020-05-08,30.99,31.34,30.36,31.02,30.9614,920917.0,0.0,1.0
2020-05-07,30.03,31.71,29.9,30.34,30.2827,1186013.0,0.0,1.0
2020-05-06,30.93,30.93,29.53,29.68,29.624,1492097.0,0.0,1.0
2020-05-05,32.03,32.3114,30.7,30.79,30.7319,1418108.0,0.0,1.0
2020-05-04,31.11,31.86,30.13,31.76,31.7,2092061.0,0.0,1.0
2020-05-01,33.79,33.89,31.54,31.62,31.5603,1849960.0,0.0,1.0
2020-04-30,36.01,36.18,34.53,34.66,34.5946,1451255.0,0.0,1.0
2020-04-29,35.17,36.94,35.16,36.7,36.6307,2207397.0,0.0,1.0
2020-04-28,33.66,34.71,33.33,34.11,34.0456,1336911.0,0.0,1.0
2020-04-27,32.16,32.685,31.38,32.56,32.4985,2479672.0,0.0,1.0
2020-04-24,33.56,33.56,32.16,32.4,32.3388,2221009.0,0.0,1.0
2020-04-23,33.99,34.3,32.87,32.92,32.8578,1440013.0,0.0,1.0
2020-04-22,34.54,34.67,33.7,33.77,33.7062,778267.0,0.0,1.0
2020-04-21,33.78,34.49,33.56,33.71,33.6464,867045.0,0.0,1.0
2020-04-20,35.39,35.9468,34.45,34.97,34.904,1118629.0,0.0,1.0
2020-04-17,35.24,36.38,34.86,36.14,36.0718,1686658.0,0.0,1.0
2020-04-16,34.51,34.59,32.99,34.0,33.9358,1791254.0,0.0,1.0
2020-04-15,36.07,36.2936,34.41,34.56,34.4947,1296623.0,0.0,1.0
2020-04-14,38.29,38.52,36.82,37.42,37.3493,1110934.0,0.0,1.0
2020-04-13,39.41,39.41,36.98,37.42,37.3493,842074.0,0.0,1.0
2020-04-09,38.43,40.47,38.43,39.42,39.3456,1474506.0,0.0,1.0
2020-04-08,36.64,38.23,35.98,37.97,37.8983,1046547.0,0.0,1.0
2020-04-07,37.63,38.05,36.18,36.27,36.2015,1372262.0,0.0,1.0
2020-04-06,34.52,36.0,34.24,35.7,35.6326,1301461.0,0.0,1.0
2020-04-03,32.63,33.72,32.38,32.7,32.6383,1425127.0,0.0,1.0
2020-04-02,32.4,34.61,32.15,33.18,33.1174,1380028.0,0.0,1.0
2020-04-01,32.83,33.2,31.87,32.63,32.5684,1277732.0,0.0,1.0
2020-03-31,34.84,35.36,34.37,34.83,34.7642,1932371.0,0.0,1.0
2020-03-30,33.72,35.57,32.9,35.43,35.3631,1361722.0,0.0,1.0
2020-03-27,33.85,34.97,33.03,33.7,33.6364,1097881.0,0.0,1.0
2020-03-26,33.63,35.7,32.72,35.41,35.3431,1160057.0,0.0,1.0
2020-03-25,33.78,35.17,32.24,33.29,33.2271,2509882.0,0.0,1.0
2020-03-24,31.66,33.99,30.51,33.74,33.6763,1846222.0,0.0,1.0
2020-03-23,31.24,32.0,28.52,29.74,29.6838,1796850.0,0.0,1.0
2020-03-20,37.54,37.97,30.87,31.26,31.201,3513845.0,0.0,1.0
2020-03-19,34.0,38.23,32.0,37.31,37.2396,2331796.0,0.0,1.0
2020-03-18,33.32,34.9,31.655,34.59,34.5247,2518354.0,0.0,1.0
2020-03-17,34.36,37.7,32.2525,36.72,36.6507,2852017.0,0.0,1.0
2020-03-16,32.59,37.96,32.22,33.42,33.3569,2949123.0,0.0,1.0
2020-03-13,35.41,37.04,34.175,37.01,36.9401,2900137.0,0.0,1.0
2020-03-12,36.52,37.31,33.18,33.19,33.1273,2843969.0,0.0,1.0
2020-03-11,41.74,41.95,39.49,39.73,39.655,2179683.0,0.0,1.0
2020-03-10,40.87,43.238,40.26,43.18,43.0985,1895634.0,0.0,1.0
2020-03-09,41.25,41.94,38.63,39.39,39.3156,1965249.0,0.0,1.0
2020-03-06,43.73,44.66,43.21,44.18,44.0966,1821346.0,0.0,1.0
2020-03-05,46.79,47.15,45.18,45.53,45.444,1604766.0,0.0,1.0
2020-03-04,47.9,48.58,46.82,48.5,48.4084,1052090.0,0.0,1.0
2020-03-03,48.26,49.05,46.86,47.08,46.9911,1682348.0,0.0,1.0
2020-03-02,45.67,48.71,45.55,48.69,48.5981,1987413.0,0.0,1.0
2020-02-28,44.88,45.65,43.97,45.63,45.5438,3377430.0,0.0,1.0
2020-02-27,48.12,48.33,46.21,46.21,46.1228,1911748.0,0.0,1.0
2020-02-26,50.75,51.02,48.88,48.95,48.8576,1616258.0,0.0,1.0
2020-02-25,52.33,52.33,50.28,50.36,50.2649,1200439.0,0.0625,1.0
2020-02-24,52.31,52.84,52.22,52.33,52.1665,1106691.0,0.0,1.0
2020-02-21,53.65,53.86,53.14,53.63,53.4624,1096162.0,0.0,1.0
2020-02-20,53.53,54.12,53.53,53.89,53.7216,750958.0,0.0,1.0
2020-02-19,53.84,54.1,53.7,53.71,53.5421,704168.0,0.0,1.0
2020-02-18,53.96,54.06,53.34,53.7,53.5322,681808.0,0.0,1.0
2020-02-14,54.01,54.23,53.655,54.19,54.0206,930305.0,0.0,1.0
2020-02-13,53.78,54.125,53.59,54.06,53.891,838098.0,0.0,1.0
2020-02-12,54.82,54.9471,53.88,53.93,53.7615,767184.0,0.0,1.0
2020-02-11,55.88,56.12,54.64,54.72,54.549,917927.0,0.0,1.0
2020-02-10,56.88,56.88,54.6,55.81,55.6356,1263339.0,0.0,1.0
2020-02-07,53.08,53.55,52.8338,53.25,53.0836,798356.0,0.0,1.0
2020-02-06,53.79,53.98,53.27,53.31,53.1434,679327.0,0.0,1.0
2020-02-05,53.52,53.87,53.25,53.58,53.4125,1405181.0,0.0,1.0
2020-02-04,53.0,53.54,52.68,52.73,52.5652,773380.0,0.0,1.0
2020-02-03,51.71,52.76,51.64,52.4,52.2362,824113.0,0.0,1.0
2020-01-31,51.99,52.26,51.255,51.45,51.2892,1024261.0,0.0,1.0
2020-01-30,51.2,52.47,51.2,52.38,52.2163,880916.0,0.0,1.0
2020-01-29,51.61,51.985,51.43,51.67,51.5085,679457.0,0.0,1.0
2020-01-28,50.99,51.87,50.99,51.49,51.3291,841541.0,0.0,1.0
2020-01-27,50.42,51.15,50.25,50.79,50.6313,745246.0,0.0,1.0
2020-01-24,51.47,51.6,51.06,51.35,51.1895,650496.0,0.0,1.0
2020-01-23,51.47,51.74,50.8,51.46,51.2992,1009075.0,0.0,1.0
2020-01-22,51.62,51.92,51.54,51.88,51.7179,1085325.0,0.0,1.0
2020-01-21,52.22,52.355,51.47,51.5,51.339,1155183.0,0.0,1.0
2020-01-17,52.29,52.67,52.21,52.39,52.2263,1064038.0,0.0,1.0
2020-01-16,51.91,52.35,51.82,52.14,51.977,688084.0,0.0,1.0
2020-01-15,51.88,52.16,51.61,51.68,51.5185,892305.0,0.0,1.0
2020-01-14,51.99,52.29,51.84,52.03,51.8674,888976.0,0.0,1.0
2020-01-13,52.07,52.25,51.815,52.1,51.9372,742865.0,0.0,1.0
2020-01-10,52.71,52.934,51.97,52.07,51.9073,656293.0,0.0,1.0
2020-01-09,52.2,52.72,52.03,52.71,52.5453,699430.0,0.0,1.0
2020-01-08,52.05,52.58,51.8,51.85,51.688,904788.0,0.0,1.0
2020-01-07,51.97,52.3,51.81,51.84,51.678,766642.0,0.0,1.0
2020-01-06,52.38,52.54,52.015,52.08,51.9172,784850.0,0.0,1.0
2020-01-03,52.45,52.81,52.28,52.76,52.5951,829277.0,0.0,1.0
2020-01-02,52.72,53.0,52.46,52.96,52.7945,1081449.0,0.0,1.0
2019-12-31,52.04,52.51,51.97,52.49,52.326,806138.0,0.0,1.0
2019-12-30,52.15,52.15,51.86,52.01,51.8475,749029.0,0.0,1.0
2019-12-27,52.07,52.175,51.86,51.89,51.7278,835799.0,0.0,1.0
2019-12-26,51.61,52.01,51.38,51.94,51.7777,454664.0,0.0,1.0
2019-12-24,51.37,51.62,51.31,51.45,51.2892,400787.0,0.0,1.0
2019-12-23,51.54,51.83,51.28,51.4,51.2394,764809.0,0.0,1.0
2019-12-20,51.38,51.92,51.31,51.66,51.4985,2273552.0,0.0,1.0
2019-12-19,51.24,51.34,50.96,51.17,51.0101,1013306.0,0.0,1.0
2019-12-18,51.54,51.54,51.16,51.32,51.1596,1113787.0,0.0,1.0
