date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-09,309.78,313.47,308.2,311.02,311.02,1100205.0,0.0,1.0
2020-06-08,311.06,313.575,307.05,310.41,310.41,3722609.0,0.0,1.0
2020-06-05,306.81,312.18,305.6463,311.88,311.88,5056938.0,0.0,1.0
2020-06-04,305.44,306.615,299.34,301.37,301.37,4146781.0,0.0,1.0
2020-06-03,305.48,308.11,302.21,307.07,307.07,3428417.0,0.0,1.0
2020-06-02,304.99,306.11,301.69,303.59,303.59,4130399.0,0.0,1.0
2020-06-01,300.8,303.06,297.9,301.4,301.4,2841774.0,0.0,1.0
2020-05-29,302.0,304.43,298.87,300.89,300.89,4929965.0,0.0,1.0
2020-05-28,300.98,310.0,298.84,302.3,302.3,4520761.0,0.0,1.0
2020-05-27,304.0,304.73,292.1158,299.77,299.77,5147670.0,0.0,1.0
2020-05-26,304.62,305.0,301.94,303.33,303.33,5244576.0,0.0,1.0
2020-05-22,295.06,296.8,293.011,294.91,294.91,2895923.0,0.0,1.0
2020-05-21,299.37,299.933,292.75,294.26,294.26,3942024.0,0.0,1.0
2020-05-20,295.75,301.15,295.39,298.8,298.8,4589806.0,0.0,1.0
2020-05-19,289.17,297.82,287.49,290.73,290.73,5210362.0,0.0,1.0
2020-05-18,285.46,292.0884,285.0,289.9,289.9,6037679.0,0.0,1.0
2020-05-15,276.04,279.14,273.29,278.94,278.94,3810793.0,0.0,1.0
2020-05-14,270.2,277.56,263.96,277.31,277.31,6291035.0,0.0,1.0
2020-05-13,272.3,276.07,264.19,269.16,269.16,4793369.0,0.0,1.0
2020-05-12,280.45,282.33,272.11,272.11,272.11,4019569.0,0.0,1.0
2020-05-11,279.5,282.81,277.63,281.23,281.23,4056227.0,0.0,1.0
2020-05-08,283.4,283.42,279.5,282.44,282.44,3215357.0,0.0,1.0
2020-05-07,277.81,282.45,277.24,278.47,278.47,4370566.0,0.0,1.0
2020-05-06,276.96,276.96,271.55,272.44,272.44,3258415.0,0.0,1.0
2020-05-05,276.84,277.85,273.3,273.98,273.98,3925424.0,0.0,1.0
2020-05-04,265.5,270.07,263.01,269.26,269.26,3747049.0,0.0,1.0
2020-05-01,268.7,273.9899,267.2134,268.74,268.74,5066031.0,0.0,1.0
2020-04-30,278.43,281.63,273.41,274.97,274.97,5887671.0,0.0,1.0
2020-04-29,278.45,285.0,276.2571,283.69,283.69,8500102.0,0.0,1.0
2020-04-28,270.4,272.65,262.96,264.6,264.6,4341362.0,0.0,1.0
2020-04-27,260.22,265.7156,259.51,265.12,265.12,4099301.0,0.0,1.0
2020-04-24,258.43,259.83,252.83,258.76,258.76,3824186.0,0.0,1.0
2020-04-23,259.39,262.42,255.27,255.86,255.86,4267023.0,0.0,1.0
2020-04-22,251.46,258.6,251.0,256.91,256.91,5082043.0,0.0,1.0
2020-04-21,246.65,249.39,244.1,245.35,245.35,5962709.0,0.0,1.0
2020-04-20,254.51,256.63,249.67,251.73,251.73,6036654.0,0.0,1.0
2020-04-17,258.25,260.7,251.51,259.97,259.97,10406616.0,0.0,1.0
2020-04-16,258.39,258.39,244.71,246.76,246.76,11401116.0,0.0,1.0
2020-04-15,260.57,262.95,255.62,257.14,257.14,10231745.0,0.0,1.0
2020-04-14,269.88,275.64,269.2,270.72,270.72,6352219.0,0.0,1.0
2020-04-13,268.2,268.7,255.75,263.34,263.34,7109609.0,0.0,1.0
2020-04-09,275.13,276.0,267.72,269.4,269.4,6661224.0,0.0,1.0
2020-04-08,262.51,271.88,258.91,270.95,270.95,5686636.0,0.4,1.0
2020-04-07,281.61,282.87,258.48,259.08,258.6981,8622349.0,0.0,1.0
2020-04-06,251.49,267.11,250.0101,265.94,265.548,8630269.0,0.0,1.0
2020-04-03,236.98,239.88,230.31,237.03,236.6806,4160869.0,0.0,1.0
2020-04-02,228.39,239.37,227.3535,238.88,238.5279,6444181.0,0.0,1.0
2020-04-01,230.94,237.1,227.1,228.61,228.273,6639011.0,0.0,1.0
2020-03-31,252.46,253.42,241.08,241.56,241.2039,10367003.0,0.0,1.0
2020-03-30,245.85,254.25,244.65,253.25,252.8767,5764171.0,0.0,1.0
2020-03-27,250.24,256.07,244.7,247.65,247.2849,7816713.0,0.0,1.0
2020-03-26,257.9,265.81,252.62,263.18,262.792,9956432.0,0.0,1.0
2020-03-25,247.9,266.3,240.36,256.48,256.1019,12640742.0,0.0,1.0
2020-03-24,215.92,238.444,215.0,237.07,236.7205,11646868.0,0.0,1.0
2020-03-23,203.28,215.68,199.99,203.3,203.0003,11583409.0,0.0,1.0
2020-03-20,236.02,236.02,210.0,211.42,211.1083,10497376.0,0.0,1.0
2020-03-19,224.01,238.5,211.55,227.15,226.8152,9122844.0,0.0,1.0
2020-03-18,222.34,229.1,213.22,227.93,227.594,11288441.0,0.0,1.0
2020-03-17,240.48,250.5,231.96,237.88,237.5293,12655907.0,0.0,1.0
2020-03-16,234.49,257.73,229.255,235.65,235.3026,12104129.0,0.0,1.0
2020-03-13,258.78,270.03,245.5,270.01,269.612,9929316.0,0.0,1.0
2020-03-12,244.53,262.485,240.93,241.5,241.144,14878984.0,0.0,1.0
2020-03-11,272.95,274.04,263.31,269.76,269.3623,8362774.0,0.0,1.0
2020-03-10,276.42,280.87,262.86,280.57,280.1564,8126913.0,0.0,1.0
2020-03-09,265.0,279.24,261.18,262.01,261.6238,8489058.0,0.0,1.0
2020-03-06,282.69,288.85,278.62,287.01,286.5869,7056370.0,0.0,1.0
2020-03-05,295.71,298.71,288.24,290.73,290.3014,6617924.0,0.0,1.0
2020-03-04,299.11,302.8,292.7471,302.36,301.9143,6458598.0,0.0,1.0
2020-03-03,314.59,314.59,290.83,292.0,291.5696,8045109.0,0.0,1.0
2020-03-02,298.89,306.96,289.44,306.74,306.2878,9683269.0,0.0,1.0
2020-02-28,274.89,290.39,273.55,290.25,289.8221,12845443.0,0.0,1.0
2020-02-27,285.03,297.45,280.935,285.82,285.3987,13805429.0,0.0,1.0
2020-02-26,302.0,307.89,297.89,298.04,297.6007,9402744.0,0.0,1.0
2020-02-25,321.34,323.23,300.76,302.89,302.4435,12704024.0,0.0,1.0
2020-02-24,317.51,329.34,313.84,324.67,324.1914,7784208.0,0.0,1.0
2020-02-21,342.55,343.89,335.61,339.7,339.1992,4997037.0,0.0,1.0
2020-02-20,345.74,347.25,338.17,344.45,343.9422,4310603.0,0.0,1.0
2020-02-19,343.99,347.24,342.6349,344.56,344.0521,3040295.0,0.0,1.0
2020-02-18,341.62,343.1,340.39,341.24,340.737,3596853.0,0.0,1.0
2020-02-14,337.46,341.04,337.03,340.95,340.4474,2713909.0,0.0,1.0
2020-02-13,332.31,337.83,332.128,335.84,335.3449,3000969.0,0.0,1.0
2020-02-12,330.82,334.45,329.22,334.16,333.6674,2447340.0,0.0,1.0
2020-02-11,335.0,335.52,329.66,330.92,330.4322,3449308.0,0.0,1.0
2020-02-10,325.62,330.28,325.51,330.28,329.7931,3846694.0,0.0,1.0
2020-02-07,328.0,329.85,325.8656,327.0,326.518,2582937.0,0.0,1.0
2020-02-06,329.32,331.23,327.68,329.3,328.8146,3421962.0,0.0,1.0
2020-02-05,335.0,335.0,324.17,328.32,327.836,3867269.0,0.0,1.0
2020-02-04,328.24,331.74,326.29,329.12,328.6348,4157495.0,0.0,1.0
2020-02-03,318.8,325.48,318.43,324.52,324.0416,4237586.0,0.0,1.0
2020-01-31,323.14,324.46,314.5,315.94,315.4743,5585527.0,0.0,1.0
