date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-09,83.19,83.51,82.58,83.03,83.03,2076648.0,0.0,1.0
2020-06-08,81.15,83.2,81.15,82.9,82.9,9499159.0,0.0,1.0
2020-06-05,82.11,83.13,81.49,82.26,82.26,9932540.0,0.0,1.0
2020-06-04,81.27,82.16,80.84,81.55,81.55,8866287.0,0.0,1.0
2020-06-03,81.0,82.345,80.86,82.06,82.06,13038684.0,0.0,1.0
2020-06-02,79.54,80.865,78.829,80.84,80.84,10824229.0,0.0,1.0
2020-06-01,80.18,80.46,79.13,79.56,79.56,5981980.0,0.0,1.0
2020-05-29,79.46,80.94,78.31,80.72,80.72,12896597.0,0.0,1.0
2020-05-28,78.6,80.29,78.51,79.04,79.04,12577234.0,0.0,1.0
2020-05-27,77.0,77.64,76.0,77.55,77.55,12233800.0,0.0,1.0
2020-05-26,78.26,78.6,76.91,77.26,77.26,18246755.0,0.0,1.0
2020-05-22,76.17,76.66,76.07,76.37,76.37,6064231.0,0.0,1.0
2020-05-21,76.76,77.03,76.27,76.55,76.55,8586456.0,0.0,1.0
2020-05-20,78.03,78.24,76.68,76.89,76.89,10519413.0,0.0,1.0
2020-05-19,79.47,79.73,77.35,77.55,77.55,10106292.0,0.0,1.0
2020-05-18,81.0,81.0,79.23,79.72,79.72,11977378.0,0.0,1.0
2020-05-15,80.11,80.55,78.83,79.78,79.78,8937027.0,0.0,1.0
2020-05-14,77.28,80.13,77.26,80.05,80.05,10883086.0,0.0,1.0
2020-05-13,76.66,78.795,76.58,77.89,77.89,10428878.0,0.0,1.0
2020-05-12,78.15,78.7,77.12,77.19,77.19,9104590.0,0.0,1.0
2020-05-11,76.03,78.0703,75.92,77.91,77.91,10134455.0,0.0,1.0
2020-05-08,76.5,76.96,75.97,76.4,76.4,8389026.0,0.0,1.0
2020-05-07,77.0,77.12,75.43,75.6,75.6,12025094.0,0.0,1.0
2020-05-06,78.35,78.64,77.08,77.12,77.12,11845289.0,0.0,1.0
2020-05-05,77.25,78.8025,76.77,78.01,78.01,7060457.0,0.0,1.0
2020-05-04,78.02,78.025,76.2175,76.86,76.86,8444853.0,0.0,1.0
2020-05-01,78.86,78.86,76.93,77.67,77.67,9082596.0,0.0,1.0
2020-04-30,79.82,80.4,79.14,79.34,79.34,11101384.0,0.0,1.0
2020-04-29,82.19,82.19,79.03,80.77,80.77,13054902.0,0.0,1.0
2020-04-28,81.18,82.23,80.17,81.18,81.18,19342011.0,0.0,1.0
2020-04-27,81.23,84.67,80.83,83.98,83.98,12195710.0,0.0,1.0
2020-04-24,81.6,82.1,81.02,81.43,81.43,7334311.0,0.0,1.0
2020-04-23,80.19,81.875,80.17,80.88,80.88,7778327.0,0.0,1.0
2020-04-22,79.2,80.65,78.83,79.98,79.98,11386870.0,0.0,1.0
2020-04-21,81.62,82.3,78.21,78.56,78.56,17055178.0,0.0,1.0
