date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-08,131.38,132.465,131.235,132.21,132.21,5601941.0,0.0,1.0
2020-06-05,131.0,133.52,130.77,132.44,132.44,7075650.0,0.0,1.0
2020-06-04,131.59,133.56,130.18,130.57,130.57,5229737.0,1.0225,1.0
2020-06-03,133.24,134.275,132.6,132.82,131.788,5421190.0,0.0,1.0
2020-06-02,133.05,133.81,131.12,132.63,131.5994,5327465.0,0.0,1.0
2020-06-01,131.6,133.9461,131.19,132.99,131.9566,4050410.0,0.0,1.0
2020-05-29,132.01,132.24,130.32,131.55,130.5278,13338796.0,0.0,1.0
2020-05-28,131.21,132.73,130.11,132.29,131.2621,4976408.0,0.0,1.0
2020-05-27,129.72,130.84,128.58,130.81,129.7936,5686547.0,0.0,1.0
2020-05-26,131.94,132.05,129.4,129.75,128.7418,5579269.0,0.0,1.0
2020-05-22,129.61,130.63,129.17,130.48,129.4661,3429228.0,0.0,1.0
2020-05-21,130.98,131.44,129.61,130.21,129.1982,4839651.0,0.0,1.0
2020-05-20,132.54,132.6841,130.34,131.26,130.2401,8213135.0,0.0,1.0
2020-05-19,134.43,134.76,131.4,131.73,130.7064,6640343.0,0.0,1.0
2020-05-18,136.85,137.99,135.06,135.52,134.467,8480600.0,0.0,1.0
2020-05-15,133.77,137.66,132.787,135.95,134.8936,20338620.0,0.0,1.0
2020-05-14,132.71,133.56,130.15,133.08,132.0459,5522343.0,0.0,1.0
2020-05-13,133.18,134.47,131.45,132.96,131.9269,5168826.0,0.0,1.0
2020-05-12,134.755,136.38,132.86,132.94,131.907,3914614.0,0.0,1.0
2020-05-11,133.43,136.2,133.17,134.38,133.3358,3591078.0,0.0,1.0
2020-05-08,133.07,135.16,132.46,134.23,133.187,4209378.0,0.0,1.0
2020-05-07,131.55,132.0,130.12,131.55,130.5278,5529573.0,0.0,1.0
2020-05-06,131.58,132.23,130.69,130.78,129.7638,4192492.0,0.0,1.0
2020-05-05,131.64,133.33,130.77,131.67,130.6469,3580084.0,0.0,1.0
