date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-08,33.0,33.24,32.69,33.23,33.23,34261176.0,0.0,1.0
2020-06-05,32.54,33.0,32.225,32.77,32.77,46689280.0,0.0,1.0
2020-06-04,31.39,31.8,31.28,31.8,31.8,30741223.0,0.0,1.0
2020-06-03,31.3,31.66,31.28,31.51,31.51,27839110.0,0.0,1.0
2020-06-02,31.05,31.1,30.71,30.99,30.99,28424181.0,0.0,1.0
2020-06-01,30.75,31.24,30.6,30.93,30.93,24944656.0,0.0,1.0
2020-05-29,30.55,30.96,30.33,30.86,30.86,43731275.0,0.0,1.0
2020-05-28,32.03,32.07,30.97,31.06,31.06,39676813.0,0.0,1.0
2020-05-27,31.74,31.9751,31.53,31.85,31.85,43418175.0,0.0,1.0
2020-05-26,30.64,31.12,30.57,30.82,30.82,41364821.0,0.0,1.0
2020-05-22,29.78,29.91,29.425,29.88,29.88,26629465.0,0.0,1.0
2020-05-21,29.79,30.06,29.53,29.77,29.77,39339588.0,0.0,1.0
2020-05-20,29.27,29.82,29.01,29.59,29.59,37876656.0,0.0,1.0
2020-05-19,29.46,29.52,28.9,28.96,28.96,35194344.0,0.0,1.0
2020-05-18,28.99,29.69,28.93,29.45,29.45,34924470.0,0.0,1.0
2020-05-15,28.28,28.455,28.07,28.31,28.31,32221786.0,0.0,1.0
2020-05-14,27.98,28.6,27.61,28.58,28.58,39808686.0,0.0,1.0
2020-05-13,28.8,28.92,28.0,28.09,28.09,49203028.0,0.0,1.0
2020-05-12,29.51,29.67,28.89,28.89,28.89,35173055.0,0.0,1.0
2020-05-11,29.65,29.65,29.15,29.38,29.38,29206369.0,0.0,1.0
2020-05-08,29.29,29.85,29.21,29.79,29.79,24036198.0,0.0,1.0
2020-05-07,29.17,29.2,28.83,28.89,28.89,31793400.0,0.0,1.0
2020-05-06,29.82,29.87,28.79,28.79,28.79,45061841.0,0.0,1.0
2020-05-05,29.74,30.18,29.72,29.74,29.74,24615222.0,0.0,1.0
2020-05-04,29.75,29.75,29.22,29.6,29.6,35151695.0,0.0,1.0
2020-05-01,30.77,30.79,29.75,29.9,29.9,36837524.0,0.0,1.0
2020-04-30,31.0,31.05,30.28,30.47,30.47,40716139.0,0.0,1.0
2020-04-29,31.13,31.87,31.07,31.43,31.43,33137441.0,0.0,1.0
2020-04-28,31.0,31.12,30.615,30.65,30.65,30905677.0,0.0,1.0
2020-04-27,29.99,30.68,29.74,30.54,30.54,33310774.0,0.0,1.0
2020-04-24,29.59,29.95,29.145,29.71,29.71,35544541.0,0.0,1.0
2020-04-23,29.44,30.05,29.33,29.5,29.5,33981777.0,0.0,1.0
2020-04-22,30.9,30.9,29.31,29.47,29.47,50741161.0,0.0,1.0
2020-04-21,30.51,30.52,29.64,29.87,29.87,43106672.0,0.0,1.0
2020-04-20,30.85,31.42,30.701,30.98,30.98,30552080.0,0.0,1.0
2020-04-17,30.85,31.25,30.7,31.23,31.23,34635533.0,0.0,1.0
2020-04-16,30.28,30.28,29.705,30.16,30.16,32388925.0,0.0,1.0
2020-04-15,30.63,30.9599,29.96,30.09,30.09,37495607.0,0.0,1.0
2020-04-14,30.69,31.155,30.35,31.13,31.13,31918457.0,0.0,1.0
2020-04-13,30.5,30.715,29.9,30.19,30.19,34136623.0,0.0,1.0
2020-04-09,30.0,30.94,29.99,30.73,30.73,50300769.0,0.0,1.0
2020-04-08,29.95,30.0,29.1,29.89,29.89,40560708.0,0.52,1.0
2020-04-07,30.44,30.97,30.07,30.08,29.5656,54226610.0,0.0,1.0
2020-04-06,28.4,29.68,28.31,29.44,28.9366,53469364.0,0.0,1.0
2020-04-03,28.53,28.74,27.25,27.46,26.9904,53402069.0,0.0,1.0
2020-04-02,28.0,28.87,28.0,28.76,28.2682,33782112.0,0.0,1.0
2020-04-01,28.38,28.58,27.7,28.05,27.5704,54627131.0,0.0,1.0
2020-03-31,30.04,30.13,29.05,29.15,28.6515,69735210.0,0.0,1.0
2020-03-30,29.9,30.41,29.48,30.23,29.7131,41625366.0,0.0,1.0
2020-03-27,29.69,30.82,29.22,29.84,29.3297,46366596.0,0.0,1.0
2020-03-26,28.68,30.96,28.68,30.6,30.0768,64032062.0,0.0,1.0
2020-03-25,28.08,29.93,27.37,28.4,27.9144,67990904.0,0.0,1.0
2020-03-24,28.0,28.3,26.84,28.09,27.6097,76224375.0,0.0,1.0
2020-03-23,27.39,27.71,26.08,26.77,26.3122,96760017.0,0.0,1.0
2020-03-20,30.46,30.5,28.18,28.45,27.9635,116617009.0,0.0,1.0
2020-03-19,31.36,32.49,30.5,31.15,30.6173,60784089.0,0.0,1.0
2020-03-18,32.0,32.91,30.25,32.85,32.2883,75959016.0,0.0,1.0
2020-03-17,32.12,34.061,32.01,33.74,33.1631,59621364.0,0.0,1.0
2020-03-16,31.0,33.8901,30.92,31.81,31.2661,58743548.0,0.0,1.0
2020-03-13,32.92,34.61,31.855,34.47,33.8806,64612396.0,0.0,1.0
2020-03-12,31.86,33.43,31.06,31.33,30.7943,83597918.0,0.0,1.0
2020-03-11,34.85,35.07,34.16,34.52,33.9297,45294931.0,0.0,1.0
2020-03-10,35.51,35.89,34.24,35.85,35.237,56619996.0,0.0,1.0
2020-03-09,35.01,36.15,34.38,34.69,34.0968,67883209.0,0.0,1.0
2020-03-06,36.71,37.25,36.18,37.03,36.3968,48871706.0,0.0,1.0
2020-03-05,37.4,37.925,36.97,37.18,36.5442,45289319.0,0.0,1.0
2020-03-04,37.02,38.22,36.72,38.18,37.5271,42063646.0,0.0,1.0
2020-03-03,37.26,37.96,35.87,36.3,35.6793,63790752.0,0.0,1.0
2020-03-02,35.37,37.42,35.29,37.18,36.5442,68404208.0,0.0,1.0
2020-02-28,34.0,35.72,33.01,35.22,34.6178,120896779.0,0.0,1.0
2020-02-27,36.58,36.913,35.36,35.73,35.119,66289191.0,0.0,1.0
2020-02-26,37.19,37.785,36.92,37.1,36.4656,40261448.0,0.0,1.0
2020-02-25,38.11,38.28,37.26,37.35,36.7113,48855268.0,0.0,1.0
2020-02-24,37.99,38.51,37.98,38.05,37.3994,34875568.0,0.0,1.0
2020-02-21,38.52,38.68,38.365,38.55,37.8908,28464921.0,0.0,1.0
2020-02-20,38.4,38.67,38.31,38.61,37.9498,27168221.0,0.0,1.0
2020-02-19,38.24,38.65,38.16,38.44,37.7827,22598447.0,0.0,1.0
2020-02-18,38.19,38.3194,38.04,38.26,37.6058,24273909.0,0.0,1.0
2020-02-14,38.28,38.47,38.11,38.25,37.5959,27385951.0,0.0,1.0
2020-02-13,37.88,38.43,37.855,38.31,37.6549,24619651.0,0.0,1.0
